year,proc,tag,title,link,description
2013,EMNLP,model,Recurrent Continuous Translation Models,D13-1176,CNN-based s2s translating improved with reranking.
2014,NIPS,model,Sequence to Sequence Learning with Neural Networks,https://papers.nips.cc/paper/5346-sequence-to-sequence-learning-with-neural-networks,RNN-based s2s model. 
2014,EMNLP,model,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,D14-1179,RNN-based enc-dec as features for smt. 
2014,WORKSHOP,model|phrase,Overcoming the Curse of Sentence Length for Neural Machine Translation using Automatic Segmentation,W14-4009,Translating segments separately and concatenating them.
2014,WORKSHOP,analysis,On the Properties of Neural Machine Translation: Encoder-Decoder Approaches,W14-4012,Analyzing the properties of NMT.
2015,ICLR,model|attention,Neural Machine Translation by Jointly Learning to Align and Translate,https://arxiv.org/abs/1409.0473,Attention s2s.
2015,ACL,vocab,On Using Very Large Target Vocabulary for Neural Machine Translation,P15-1001,Large traget vocab but only updating a subset of them when training.
2015,ACL,vocab,Addressing the Rare Word Problem in Neural Machine Translation,P15-1002,Augment UNK with position and alignment info.
2015,EMNLP,vocab,Variable-Length Word Encodings for Neural Translation Models,D15-1249,Encode words with variable tokens.
2015,EMNLP,model|attention,Effective Approaches to Attention-based Neural Machine Translation,D15-1166,Different types of attention and input-feeding.
2015,NIPS,train,Scheduled Sampling for Sequence Prediction with Recurrent Neural Networks,https://papers.nips.cc/paper/5956-scheduled-sampling-for-sequence-prediction-with-recurrent-neural-networks,Training with predicted y-feeding.
2016,ACL,vocab,Achieving Open Vocabulary Neural Machine Translation with Hybrid Word-Character Models,P16-1100,Hybrid model with char decoding for UNK.
2016,ACL,vocab,Pointing the Unknown Words,P16-1014,As the title suggests.
2016,ACL,syntax|attention,Tree-to-Sequence Attentional Neural Machine Translation,P16-1078,Source-side phrase tree.
2016,ACL,semi,Improving Neural Machine Translation Models with Monolingual Data,P16-1009,Synthetic source sentences with back translation.
2016,ACL,model|smt,Modeling Coverage for Neural Machine Translation,P16-1008,Modeling coverage with coverage embedding for source words.
2016,ACL,model|vocab,A Character-Level Decoder without Explicit Segmentation for Neural Machine Translation,P16-1160,Biscale decoder at char-level.
2016,ACL,semi,Semi-Supervised Learning for Neural Machine Translation,P16-1185,With two-directions and auto-encoders.
2016,ACL,train,Minimum Risk Training for Neural Machine Translation,P16-1159,RL-like training with sampling.
2016,ACL,vocab,Neural Machine Translation of Rare Words with Subword Units,P16-1162,BPE.
2016,ACL,vocab,Vocabulary Manipulation for Neural Machine Translation,P16-2021,Selected traget vocab.
2016,ACL,syntax|smt,Syntactically Guided Neural Machine Translation,P16-2049,Decoding with smt lattice.
2016,ACL,vocab,Character-based Neural Machine Translation,P16-2058,Char-encoding for src.
2016,ACL,vocab,Strategies for Training Large Vocabulary Neural Language Models,P16-1186,About target vocab.
2016,EMNLP,multi,Zero-Resource Translation with Multi-Lingual Neural Machine Translation,D16-1026,As the title suggests.
2016,EMNLP,analysis,Neural versus Phrase-Based Machine Translation Quality: a Case Study,D16-1025,As the title suggests.
2016,EMNLP,model,Memory-enhanced Decoder for Neural Machine Translation,D16-1027,As the title suggests.
2016,EMNLP,attention|smt,Supervised Attentions for Neural Machine Translation,D16-1249,Additional alignment object.
2016,EMNLP,model|train,Variational Neural Machine Translation,D16-1050,With a continuous latent variable.
2016,EMNLP,analysis,Why Neural Translations are the Right Length,D16-1248,As the title suggests.
